Section,Task,Subtask,Workstream,Decision Gate,Blocker,Requires Stakeholder Decision,CRM Environment,Effort,Priority,Baseline / Target Metric,Assignee Primary,Assignee Secondary,Milestone,Depends On,Related Docs
Target Architecture & Migration Design,,"Active entry required fields (SOC, LOB, coordinator)",Architecture,No,No,No,Discovery,M,P0,,Keren,Joel,No,,
Target Architecture & Migration Design,,Discharged required fields,Architecture,No,No,No,Discovery,M,P0,,Keren,Joel,No,,
Target Architecture & Migration Design,,On Hold required fields (replaces Pre-Intake),Architecture,No,No,No,Discovery,M,P0,,Keren,Joel,No,,
Target Architecture & Migration Design,,Map to crm/schema/validation-rules.ts,Architecture,No,No,No,Discovery,M,P0,,Keren,Joel,No,,
Target Architecture & Migration Design,Draft dashboard logic spec,"Leadership: true census, authorized pipeline, drop/discharge by reason",Architecture,No,No,No,Discovery,M,P1,,Keren,"Angelo, Joel",No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md
Target Architecture & Migration Design,,"Intake: pending NIA, Medicaid, auth, overdue follow-ups",Architecture,No,No,No,Discovery,M,P1,,Keren,"Angelo, Joel",No,,
Target Architecture & Migration Design,,"Operations: expiring auth, non-authorized active, SOC issues",Architecture,No,No,No,Discovery,M,P1,,Keren,"Angelo, Joel",No,,
Target Architecture & Migration Design,,"Growth: source attribution, conversion, drop by source",Architecture,No,No,No,Discovery,M,P1,,Keren,"Angelo, Joel",No,,
Target Architecture & Migration Design,,Map to crm/audit/dashboard-queries.sql,Architecture,No,No,No,Discovery,M,P1,,Keren,"Angelo, Joel",No,,
Target Architecture & Migration Design,Publish Implementation Brief for Avi,Picklist values from crm/schema/enums.json,Architecture,No,No,No,Discovery,M,P0,,Keren,Avi,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/validation-rules.ts; https://github.com/klacadin/evo-growth/blob/master/crm/schema/lifecycle.ts; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
Target Architecture & Migration Design,,Field definitions and UI recommendations,Architecture,No,No,No,Discovery,M,P0,,Keren,Avi,No,,
Target Architecture & Migration Design,,Validation rules and transition rules,Architecture,No,No,No,Discovery,M,P0,,Keren,Avi,No,,
Target Architecture & Migration Design,,Migration safety rules and rollback plan,Architecture,No,No,No,Discovery,M,P0,,Keren,Avi,No,,
Target Architecture & Migration Design,,Open technical questions list for Avi,Architecture,No,No,No,Discovery,M,P0,,Keren,Avi,No,,
CRM Build — Staging,Episode picklist rebuild,Implement 5-stage pipeline: Lead | Qualifying | Referral in Progress | Active | Discharged,Build,No,No,No,Staging,M,P0,,Avi,,No,Sign Status Framework v1,https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
CRM Build — Staging,,Add Dropped Off as terminal before Active,Build,No,No,No,Staging,M,P0,,Avi,,No,Sign Status Framework v1,
CRM Build — Staging,,Map legacy EpisodeStatus values per signed flowchart,Build,No,No,No,Staging,M,P0,,Avi,,No,Sign Status Framework v1,
CRM Build — Staging,,"Deprecate Pre-Intake, Closed, Converted, ambiguous In Progress labels",Build,No,No,No,Staging,M,P0,,Avi,,No,Sign Status Framework v1,
CRM Build — Staging,,Short-term parallel status fields + icon display (separate from main bar),Build,No,No,No,Staging,M,P0,,Avi,,No,Sign Status Framework v1,
CRM Build — Staging,Authorization picklist migration,Create Authorization status picklist (replace baseStatus STRING),Build,No,No,No,Staging,M,P0,,Avi,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/validation-rules.ts; https://github.com/klacadin/evo-growth/blob/master/crm/asana/nexus-discovery-asana-sync.md
CRM Build — Staging,,Map existing STRING values to picklist,Build,No,No,No,Staging,M,P0,,Avi,,No,,
CRM Build — Staging,,Link picklist to intake and LOB timeline widget,Build,No,No,No,Staging,M,P0,,Avi,,No,,
CRM Build — Staging,Episode UI updates,Progress bar: Lead → Qualifying → Referral in Progress → Active → Discharged,Build,No,No,No,Staging,L,P0,,Avi,Angelo,No,,https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
CRM Build — Staging,,Short-term care icon (parallel track — not on main bar until authorized),Build,No,No,No,Staging,L,P0,,Avi,Angelo,No,,
CRM Build — Staging,,Per-LOB status chips when multiple LOBs open,Build,No,No,No,Staging,L,P0,,Avi,Angelo,No,,
CRM Build — Staging,,Sub-status on Active: Authorized / Non-Authorized (computed),Build,No,No,No,Staging,L,P0,,Avi,Angelo,No,,
CRM Build — Staging,,Require outcome modal on Dropped Off and Discharged,Build,No,No,No,Staging,L,P0,,Avi,Angelo,No,,
CRM Build — Staging,,Hide legacy Patient status fields from layout,Build,No,No,No,Staging,L,P0,,Avi,Angelo,No,,
CRM Build — Staging,Validation rules — blocking saves,Dropped Off Referral requires outcome,Build,No,No,No,Staging,M,P0,,Avi,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/validation-rules.ts; https://github.com/klacadin/evo-growth/blob/master/crm/schema/lifecycle.ts
CRM Build — Staging,,Discharged requires outcome + discharge date,Build,No,No,No,Staging,M,P0,,Avi,,No,,
CRM Build — Staging,,Discharged only from Active (was-ever-active check),Build,No,No,No,Staging,M,P0,,Avi,,No,,
CRM Build — Staging,,leadStage cleared/hidden when Active or Discharged,Build,No,No,No,Staging,M,P0,,Avi,,No,,
CRM Build — Staging,,Service-line drop ≠ Episode discharge unless last active LOB + confirm dialog,Build,No,No,No,Staging,M,P0,,Avi,,No,,
CRM Build — Staging,Automations,Authorization save → recalc Active sub-status + LOB timeline (Ntelekos fix),Build,No,No,No,Staging,L,P0,,Avi,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/validation-rules.ts; https://github.com/klacadin/evo-growth/blob/master/crm/schema/lifecycle.ts; https://github.com/klacadin/evo-growth/blob/master/crm/asana/nexus-discovery-asana-sync.md
CRM Build — Staging,,Nightly auth expiry → flag Active Non-Authorized + alert,Build,No,No,No,Staging,L,P0,,Avi,,No,,
CRM Build — Staging,,NIA failed → ON_HOLD + 6-month hold_until + re-engage task,Build,No,No,No,Staging,L,P0,,Avi,,No,,
CRM Build — Staging,,SOC confirmed → Episode ACTIVE,Build,No,No,No,Staging,L,P0,,Avi,,No,,
CRM Build — Staging,,"SLA timers: lead 24h, follow-up 3d, referral→intake 7d, auth→SOC 14d",Build,No,No,No,Staging,L,P0,,Avi,,No,,
CRM Build — Staging,Staging build complete,Demo to Keren + Joel — walk through one record per lifecycle stage,Build,No,Yes,No,Staging,S,P0,,Avi,Keren,Yes,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/validation-rules.ts; https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json
CRM Build — Staging,,"Confirm picklists, UI, rules, and automations working",Build,No,Yes,No,Staging,S,P0,,Avi,Keren,Yes,,
CRM Build — Staging,,Unlock Data Remediation on staging,Build,No,Yes,No,Staging,S,P0,,Avi,Keren,Yes,,
Data Remediation & QA,Build staging migration script,Implement nexus-episode-status-map.json rules,Remediation,No,No,No,Staging,L,P0,,Avi,,No,Baseline audit complete — all counts recorded,https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/legacy-status-map.json
Data Remediation & QA,,Safe automatic batches first,Remediation,No,No,No,Staging,L,P0,,Avi,,No,Baseline audit complete — all counts recorded,
Data Remediation & QA,,Conditional batches with flags,Remediation,No,No,No,Staging,L,P0,,Avi,,No,Baseline audit complete — all counts recorded,
Data Remediation & QA,,Manual review queue export for ambiguous records,Remediation,No,No,No,Staging,L,P0,,Avi,,No,Baseline audit complete — all counts recorded,
Data Remediation & QA,Migrate Episode statuses,New / Lead / Converted / On Hold → REFERRAL + leadStage,Remediation,No,No,No,Staging,M,P0,,Avi,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json
Data Remediation & QA,,Dropped → REFERRAL + Dropped Off Referral + outcome,Remediation,No,No,No,Staging,M,P0,,Avi,,No,,
Data Remediation & QA,,Active → compute Authorized vs Non-Authorized from auth,Remediation,No,No,No,Staging,M,P0,,Avi,,No,,
Data Remediation & QA,,Discharged → retain + require outcome backfill,Remediation,No,No,No,Staging,M,P0,,Avi,,No,,
Data Remediation & QA,Remediate legacy Patient picklists,pre-intake → Referral In Progress + hold badge,Remediation,No,No,No,Staging,M,P0,,Avi,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/legacy-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json
Data Remediation & QA,,closed → manual split: Discharged vs Dropped Off Referral,Remediation,No,No,No,Staging,M,P0,,Avi,,No,,
Data Remediation & QA,,person-level authorized → remove from display; compute from auth layer,Remediation,No,No,No,Staging,M,P0,,Avi,,No,,
Data Remediation & QA,Run specialty remediation batches,CDPAP sunset cohort — discharge or drop per signed rule,Remediation,No,No,No,Staging,L,P0,,Avi,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql
Data Remediation & QA,,Third-party referrals (Girling) — Dropped Off + THIRD_PARTY_REFERRAL,Remediation,No,No,No,Staging,L,P0,,Avi,,No,,
Data Remediation & QA,,Orphan authorized — clear or flag Non-Authorized,Remediation,No,No,No,Staging,L,P0,,Avi,,No,,
Data Remediation & QA,,Voided/dropped intakes — clear authorized display,Remediation,No,No,No,Staging,L,P0,,Avi,,No,,
Data Remediation & QA,,leadStage = None — backfill from Episode.status,Remediation,No,No,No,Staging,L,P0,,Avi,,No,,
Data Remediation & QA,,leadStage = Converted → In Progress Referral,Remediation,No,No,No,Staging,L,P0,,Avi,,No,,
Data Remediation & QA,Re-run baselines on staging,Compare all audit cohort counts to baseline,Remediation,No,No,No,Staging,M,P0,Census gap closed vs Phase 1 baseline,Keren,Avi,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
Data Remediation & QA,,Document remaining exceptions and accept/reject each,Remediation,No,No,No,Staging,M,P0,Census gap closed vs Phase 1 baseline,Keren,Avi,No,,
Data Remediation & QA,,Confirm orphan authorized → target 0 on census widget,Remediation,No,No,No,Staging,M,P0,Census gap closed vs Phase 1 baseline,Keren,Avi,No,,
Data Remediation & QA,Ops review — 50 remediated records,"Sample across LOBs: LTC, NHTD, OPWDD, private pay, short-term",Remediation,No,No,Yes,Staging,M,P0,,Joel,Keren,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md
Data Remediation & QA,,"Sample edge cases: NIA hold, CDPAP, third-party, multi-LOB",Remediation,No,No,Yes,Staging,M,P0,,Joel,Keren,No,,
Data Remediation & QA,,Confirm status labels match operational reality,Remediation,No,No,Yes,Staging,M,P0,,Joel,Keren,No,,
Data Remediation & QA,,Document any corrections needed before dashboard rebuild,Remediation,No,No,Yes,Staging,M,P0,,Joel,Keren,No,,
Data Remediation & QA,Remediation validated — census gap acceptable on staging,Joel signs ops acceptance on remediation sample,Remediation,No,Yes,No,Staging,S,P0,,Avi,"Keren, Joel",Yes,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
Data Remediation & QA,,Gap within agreed threshold documented,Remediation,No,Yes,No,Staging,S,P0,,Avi,"Keren, Joel",Yes,,
Data Remediation & QA,,Unlock Dashboard rebuild,Remediation,No,Yes,No,Staging,S,P0,,Avi,"Keren, Joel",Yes,,
Dashboards & User Acceptance,Rebuild Leads / Referral list view,Show pipeline stage: Lead / Qualifying / Referral in Progress (not generic In Progress),Dashboards,No,No,No,Staging,M,P0,,Avi,Angelo,No,Remediation validated — census gap acceptable on staging,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
Dashboards & User Acceptance,,Add intake opened date and LOB to list view,Dashboards,No,No,No,Staging,M,P0,,Avi,Angelo,No,Remediation validated — census gap acceptable on staging,
Dashboards & User Acceptance,,"Filters: NIA upcoming, NIA passed/failed, qualifying stage, dropped cases",Dashboards,No,No,No,Staging,M,P0,,Avi,Angelo,No,Remediation validated — census gap acceptable on staging,
Dashboards & User Acceptance,,Short-term icon column without affecting main status sort,Dashboards,No,No,No,Staging,M,P0,,Avi,Angelo,No,Remediation validated — census gap acceptable on staging,
Dashboards & User Acceptance,,Automated list ordering by status and eligibility priority,Dashboards,No,No,No,Staging,M,P0,,Avi,Angelo,No,Remediation validated — census gap acceptable on staging,
Dashboards & User Acceptance,Rebuild leadership widgets,"True census widget: Active + valid auth + SOC (~1,200–1,300)",Dashboards,No,No,No,Staging,M,P0,,Avi,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql
Dashboards & User Acceptance,,Authorized pipeline widget (separate from census),Dashboards,No,No,No,Staging,M,P0,,Avi,,No,,
Dashboards & User Acceptance,,Active Non-Authorized / expired auth risk widget,Dashboards,No,No,No,Staging,M,P0,,Avi,,No,,
Dashboards & User Acceptance,,Referral funnel: New / In Progress / Dropped by leadStage,Dashboards,No,No,No,Staging,M,P0,,Avi,,No,,
Dashboards & User Acceptance,Rebuild ops queues,Expiring authorizations (30-day window),Dashboards,No,No,No,Staging,M,P1,,Avi,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
Dashboards & User Acceptance,,Stale anticipated SOC queue,Dashboards,No,No,No,Staging,M,P1,,Avi,,No,,
Dashboards & User Acceptance,,Active patients missing required fields,Dashboards,No,No,No,Staging,M,P1,,Avi,,No,,
Dashboards & User Acceptance,,Multi-LOB conflict review queue,Dashboards,No,No,No,Staging,M,P1,,Avi,,No,,
Dashboards & User Acceptance,Rebuild growth / funnel reporting,Drop/discharge by Episode.outcome + referral source,Dashboards,No,No,No,Staging,M,P2,,Avi,Keren,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
Dashboards & User Acceptance,,Referral-to-active conversion by source and LOB,Dashboards,No,No,No,Staging,M,P2,,Avi,Keren,No,,
Dashboards & User Acceptance,,Geography and campaign trends (when attribution fields clean),Dashboards,No,No,No,Staging,M,P2,,Avi,Keren,No,,
Dashboards & User Acceptance,QA — zero orphan authorized on census widget,Run census widget query against staging,Dashboards,No,No,No,Staging,S,P0,,Avi,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql
Dashboards & User Acceptance,,Confirm 0 rows matching orphan authorized pattern,Dashboards,No,No,No,Staging,S,P0,,Avi,,No,,
Dashboards & User Acceptance,,Document any accepted exceptions with Joel sign-off,Dashboards,No,No,No,Staging,S,P0,,Avi,,No,,
Dashboards & User Acceptance,Sales UAT — Angelo,Can identify lead vs referral vs patient in ≤3 seconds,Dashboards,No,No,Yes,Staging,M,P0,,Angelo,"Keren, Avi",No,,https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
Dashboards & User Acceptance,,Leads list shows meaningful funnel granularity,Dashboards,No,No,Yes,Staging,M,P0,,Angelo,"Keren, Avi",No,,
Dashboards & User Acceptance,,Drop reasons visible without deep drill-down,Dashboards,No,No,Yes,Staging,M,P0,,Angelo,"Keren, Avi",No,,
Dashboards & User Acceptance,,Sign UAT checklist or log defects,Dashboards,No,No,Yes,Staging,M,P0,,Angelo,"Keren, Avi",No,,
Dashboards & User Acceptance,Ops UAT — Joel + intake leads,NIA hold workflow works without Pre-Intake label,Dashboards,No,No,Yes,Staging,M,P0,,Joel,Keren,No,,https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
Dashboards & User Acceptance,,Auth recalc updates LOB timeline immediately,Dashboards,No,No,Yes,Staging,M,P0,,Joel,Keren,No,,
Dashboards & User Acceptance,,LOB drop does not accidentally discharge patient,Dashboards,No,No,Yes,Staging,M,P0,,Joel,Keren,No,,
Dashboards & User Acceptance,,Sign UAT checklist or log defects,Dashboards,No,No,Yes,Staging,M,P0,,Joel,Keren,No,,
Dashboards & User Acceptance,UAT passed — sales and ops sign-off,Compile UAT results and defect resolution,Dashboards,No,Yes,Yes,Discovery,S,P0,,Keren,"Angelo, Joel, Avi",Yes,,https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/milestones.json
Dashboards & User Acceptance,,Written sign-off from Angelo (sales) and Joel (ops),Dashboards,No,Yes,Yes,Discovery,S,P0,,Keren,"Angelo, Joel, Avi",Yes,,
Dashboards & User Acceptance,,Unlock Production Go-Live,Dashboards,No,Yes,Yes,Discovery,S,P0,,Keren,"Angelo, Joel, Avi",Yes,,
Production Go-Live,Final go/no-go review,Confirm staging census gap within threshold,Go-Live,No,No,Yes,Production,S,P0,,Keren,"Joel, Avi, Angelo",No,UAT passed — sales and ops sign-off,https://github.com/klacadin/evo-growth/blob/master/crm/asana/milestones.json; https://github.com/klacadin/evo-growth/blob/master/crm/asana/dependencies.json; https://github.com/klacadin/evo-growth/blob/master/crm/asana/project-description.md
Production Go-Live,,Confirm rollback plan documented,Go-Live,No,No,Yes,Production,S,P0,,Keren,"Joel, Avi, Angelo",No,UAT passed — sales and ops sign-off,
Production Go-Live,,Confirm comms sent to sales + ops + intake,Go-Live,No,No,Yes,Production,S,P0,,Keren,"Joel, Avi, Angelo",No,UAT passed — sales and ops sign-off,
Production Go-Live,,Go/no-go decision recorded,Go-Live,No,No,Yes,Production,S,P0,,Keren,"Joel, Avi, Angelo",No,UAT passed — sales and ops sign-off,
Production Go-Live,Schedule and communicate migration window,"Announce window to sales, intake, ops, leadership",Go-Live,No,No,No,Production,S,P0,,Leah,"Keren, Avi",No,,https://github.com/klacadin/evo-growth/blob/master/crm/asana/project-description.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/01-share-with-team.md
Production Go-Live,,Document what changes for each team on day 1,Go-Live,No,No,No,Production,S,P0,,Leah,"Keren, Avi",No,,
Production Go-Live,,Provide support channel during cutover,Go-Live,No,No,No,Production,S,P0,,Leah,"Keren, Avi",No,,
Production Go-Live,Execute production remediation batch,Run validated migration script from staging,Go-Live,No,No,No,Production,L,P0,,Avi,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json
Production Go-Live,,Process manual review queue with Keren + Joel,Go-Live,No,No,No,Production,L,P0,,Avi,,No,,
Production Go-Live,,Verify sample records post-migration,Go-Live,No,No,No,Production,L,P0,,Avi,,No,,
Production Go-Live,Enable production rules and automations,Enable validation rules,Go-Live,No,No,No,Production,M,P0,,Avi,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/validation-rules.ts; https://github.com/klacadin/evo-growth/blob/master/crm/schema/lifecycle.ts
Production Go-Live,,Enable auth save → recalc automation,Go-Live,No,No,No,Production,M,P0,,Avi,,No,,
Production Go-Live,,Enable nightly auth expiry alerts,Go-Live,No,No,No,Production,M,P0,,Avi,,No,,
Production Go-Live,,Enable SLA timers,Go-Live,No,No,No,Production,M,P0,,Avi,,No,,
Production Go-Live,Switch production dashboards and list views,Activate new census widget,Go-Live,No,No,No,Production,M,P0,,Avi,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
Production Go-Live,,Activate new Leads/Referral list,Go-Live,No,No,No,Production,M,P0,,Avi,,No,,
Production Go-Live,,Hide legacy authorized counts from leadership default view,Go-Live,No,No,No,Production,M,P0,,Avi,,No,,
Production Go-Live,,Archive old dashboard definitions (do not delete),Go-Live,No,No,No,Production,M,P0,,Avi,,No,,
Production Go-Live,Post-cutover census validation,Re-run census gap audit on production,Go-Live,No,No,No,Production,S,P0,"~1,960 → ~1,200–1,300 confirmed",Keren,Avi,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
Production Go-Live,,Compare to baseline and staging results,Go-Live,No,No,No,Production,S,P0,"~1,960 → ~1,200–1,300 confirmed",Keren,Avi,No,,
Production Go-Live,,Document final counts for leadership,Go-Live,No,No,No,Production,S,P0,"~1,960 → ~1,200–1,300 confirmed",Keren,Avi,No,,
Production Go-Live,Production live — census gap closed,Leadership briefed on new census number,Go-Live,No,Yes,No,Production,S,P0,,Avi,Keren,Yes,,https://github.com/klacadin/evo-growth/blob/master/crm/asana/milestones.json; https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
Production Go-Live,,Old authorized dashboard retired from default views,Go-Live,No,Yes,No,Production,S,P0,,Avi,Keren,Yes,,
Production Go-Live,,Begin 2-week hypercare monitoring,Go-Live,No,Yes,No,Production,S,P0,,Avi,Keren,Yes,,
Production Go-Live,Hypercare monitoring (2 weeks),Monitor auth recalc — no Ntelekos regressions,Go-Live,No,No,No,Production,M,P1,,Avi,"Keren, Angelo",No,,https://github.com/klacadin/evo-growth/blob/master/crm/asana/project-description.md
Production Go-Live,,Monitor SLA alert volume and false positives,Go-Live,No,No,No,Production,M,P1,,Avi,"Keren, Angelo",No,,
Production Go-Live,,Daily check-in with sales and intake for label confusion,Go-Live,No,No,No,Production,M,P1,,Avi,"Keren, Angelo",No,,
Production Go-Live,,Log and triage defects,Go-Live,No,No,No,Production,M,P1,,Avi,"Keren, Angelo",No,,
"Documentation, Training & NY Playbook",Publish NY Status Framework v1 (canonical),Final glossary and lifecycle diagram,Training,No,No,No,Discovery,M,P1,,Keren,Joel,No,Production live — census gap closed,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/onedrive-hub/index.md
"Documentation, Training & NY Playbook",,"Per-team quick reference: sales, intake, ops, leadership",Training,No,No,No,Discovery,M,P1,,Keren,Joel,No,Production live — census gap closed,
"Documentation, Training & NY Playbook",,Edge case handling guide,Training,No,No,No,Discovery,M,P1,,Keren,Joel,No,Production live — census gap closed,
"Documentation, Training & NY Playbook",,Store in Teams + repo,Training,No,No,No,Discovery,M,P1,,Keren,Joel,No,Production live — census gap closed,
"Documentation, Training & NY Playbook",Update department playbooks,Intake playbook — replace Pre-Intake with On Hold workflow,Training,No,No,No,Discovery,L,P1,,Joel,Keren,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/05-phase0-workshop.md
"Documentation, Training & NY Playbook",,Sales playbook — referral sub-status and drop reasons,Training,No,No,No,Discovery,L,P1,,Joel,Keren,No,,
"Documentation, Training & NY Playbook",,Ops playbook — auth expiry and non-authorized active handling,Training,No,No,No,Discovery,L,P1,,Joel,Keren,No,,
"Documentation, Training & NY Playbook",,Angela playbook revision,Training,No,No,No,Discovery,L,P1,,Joel,Keren,No,,
"Documentation, Training & NY Playbook",Conduct team training sessions,"Enrollment specialists — 45 min: Qualifying vs Referral in Progress, NIA filters, dropped cases",Training,No,No,No,Discovery,M,P1,,Keren,"Joel, Angelo",No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/onedrive-hub/index.md
"Documentation, Training & NY Playbook",,Sales training — 30 min: pipeline stages and short-term icon,Training,No,No,No,Discovery,M,P1,,Keren,"Joel, Angelo",No,,
"Documentation, Training & NY Playbook",,"Ops training — 30 min: census, auth expiry, LOB drop vs discharge, multi-LOB view",Training,No,No,No,Discovery,M,P1,,Keren,"Joel, Angelo",No,,
"Documentation, Training & NY Playbook",,Record sessions for onboarding,Training,No,No,No,Discovery,M,P1,,Keren,"Joel, Angelo",No,,
"Documentation, Training & NY Playbook",Deprecate legacy fields (write-block only),Write-block deprecated EpisodeStatus values,Training,No,No,No,Staging,M,P2,,Avi,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/legacy-status-map.json
"Documentation, Training & NY Playbook",,Write-block LeadStatus Converted,Training,No,No,No,Staging,M,P2,,Avi,,No,,
"Documentation, Training & NY Playbook",,Hide legacy Patient status picklists permanently,Training,No,No,No,Staging,M,P2,,Avi,,No,,
"Documentation, Training & NY Playbook",,Plan intake field reduction (130 → target; no deletion yet),Training,No,No,No,Staging,M,P2,,Avi,,No,,
"Documentation, Training & NY Playbook",Florida delta checklist,Document NY vs FL CRM differences,Training,No,No,Yes,Discovery,M,P3,,Keren,Joel,No,,https://github.com/klacadin/evo-growth/blob/master/crm/leadtrap/leadtrap.md; https://github.com/klacadin/evo-growth/blob/master/crm/README.md
"Documentation, Training & NY Playbook",,Identify which status rules transfer unchanged,Training,No,No,Yes,Discovery,M,P3,,Keren,Joel,No,,
"Documentation, Training & NY Playbook",,Note LeadTrap/Faith Healthcare integration (crm/leadtrap/),Training,No,No,Yes,Discovery,M,P3,,Keren,Joel,No,,
"Documentation, Training & NY Playbook",,Estimate FL adaptation effort,Training,No,No,Yes,Discovery,M,P3,,Keren,Joel,No,,
Growth Enablement,Confirm growth readiness prerequisites,Referral source field standardized and populated,Growth,No,No,No,Discovery,S,P2,,Keren,,No,Production live — census gap closed,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/asana/milestones.json
Growth Enablement,,Drop/discharge outcomes required and populated,Growth,No,No,No,Discovery,S,P2,,Keren,,No,Production live — census gap closed,
Growth Enablement,,Conversion reporting validated on 30-day cohort,Growth,No,No,No,Discovery,S,P2,,Keren,,No,Production live — census gap closed,
Growth Enablement,,No orphan authorized on growth-facing views,Growth,No,No,No,Discovery,S,P2,,Keren,,No,Production live — census gap closed,
Growth Enablement,UTM and campaign attribution standards,Define required UTM parameters for web forms,Growth,No,No,No,Discovery,M,P2,,Keren,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/leadtrap/leadtrap.md
Growth Enablement,,Map to Episode source fields in CRM,Growth,No,No,No,Discovery,M,P2,,Keren,,No,,
Growth Enablement,,Document naming convention for campaigns and events,Growth,No,No,No,Discovery,M,P2,,Keren,,No,,
